square_feet,age_years,num_rooms,distance_km,location_code,property_type,energy_rating,price_k
1800.5,12.0,3,4.5,Urban,SingleFamily,A,312.45
2400.0,5.0,4,12.1,Suburban,Apartment,B,355.20
1100.2,25.0,2,1.2,Urban,Townhouse,C,210.80
3100.8,2.0,5,18.4,Rural,SingleFamily,A,420.15
950.0,18.0,1,8.9,Suburban,Apartment,D,165.30
1650.3,10.0,3,3.1,Urban,SingleFamily,B,295.60
2150.7,8.0,4,6.7,Suburban,Townhouse,A,340.90
1300.0,22.0,2,15.3,Rural,Apartment,C,185.40
2800.4,4.0,4,2.8,Urban,SingleFamily,A,415.75
1450.6,15.0,3,9.4,Suburban,SingleFamily,B,245.10
1920.0,11.0,3,5.2,Urban,Townhouse,A,325.50
2650.5,3.0,4,14.2,Suburban,SingleFamily,A,390.80
1250.0,28.0,2,2.1,Urban,Apartment,C,205.40
3300.0,1.0,5,22.5,Rural,SingleFamily,A,445.60
880.0,20.0,1,7.5,Suburban,Apartment,D,155.20
1750.0,9.0,3,4.0,Urban,SingleFamily,B,305.80
2250.0,6.0,4,8.1,Suburban,Townhouse,A,352.40
1400.0,19.0,2,16.8,Rural,Apartment,C,192.10
2950.0,2.0,4,1.9,Urban,SingleFamily,A,432.90
1550.0,14.0,3,10.5,Suburban,SingleFamily,B,258.30
2010.0,10.0,3,4.8,Urban,SingleFamily,A,335.20
2500.0,4.0,4,11.5,Suburban,Apartment,B,368.10
1050.0,24.0,2,1.8,Urban,Townhouse,C,202.50
3200.0,2.0,5,19.2,Rural,SingleFamily,A,431.00
920.0,19.0,1,8.1,Suburban,Apartment,D,160.40
1600.0,11.0,3,3.5,Urban,SingleFamily,B,289.00
2100.0,9.0,4,7.2,Suburban,Townhouse,A,332.50
1350.0,21.0,2,14.8,Rural,Apartment,C,188.90
2850.0,3.0,4,2.5,Urban,SingleFamily,A,422.10
1500.0,13.0,3,9.8,Suburban,SingleFamily,B,252.00
1880.0,11.5,3,5.0,Urban,Townhouse,A,318.90
2600.0,3.5,4,13.8,Suburban,SingleFamily,A,384.20
1200.0,26.5,2,2.0,Urban,Apartment,C,200.10
3250.0,1.5,5,21.0,Rural,SingleFamily,A,438.50
900.0,19.5,1,7.8,Suburban,Apartment,D,158.00
1700.0,9.5,3,3.8,Urban,SingleFamily,B,300.20
2200.0,7.0,4,7.8,Suburban,Townhouse,A,346.00
1380.0,20.0,2,16.0,Rural,Apartment,C,190.00
2900.0,2.5,4,2.2,Urban,SingleFamily,A,428.00
1520.0,13.5,3,10.0,Suburban,SingleFamily,B,255.00
